                       i               ith prime         n of primes < i
                     305                    2011                      62
                     306                    2017                      62
                     307                    2027                      63
                     308                    2029                      63
                     309                    2039                      63
                     310                    2053                      63
                     311                    2063                      64
                     312                    2069                      64
                     313                    2081                      65
                     314                    2083                      65
                     315                    2087                      65
                     316                    2089                      65
                     317                    2099                      66
                     318                    2111                      66
                     319                    2113                      66
                     320                    2129                      66
                     321                    2131                      66
                     322                    2137                      66
                     323                    2141                      66
                     324                    2143                      66
                     325                    2153                      66
                     326                    2161                      66
                     327                    2179                      66
                     328                    2203                      66
                     329                    2207                      66
                     330                    2213                      66
                     331                    2221                      67
                     332                    2237                      67
                     333                    2239                      67
                     334                    2243                      67
                     335                    2251                      67
                     336                    2267                      67
                     337                    2269                      68
                     338                    2273                      68
                     339                    2281                      68
                     340                    2287                      68
                     341                    2293                      68
                     342                    2297                      68
                     343                    2309                      68
                     344                    2311                      68
                     345                    2333                      68
                     346                    2339                      68
                     347                    2341                      69
                     348                    2347                      69
                     349                    2351                      70
                     350                    2357                      70
                     351                    2371                      70
                     352                    2377                      70
                     353                    2381                      71
                     354                    2383                      71
                     355                    2389                      71
                     356                    2393                      71
                     357                    2399                      71
                     358                    2411                      71
                     359                    2417                      72
                     360                    2423                      72
                     361                    2437                      72
                     362                    2441                      72
                     363                    2447                      72
                     364                    2459                      72
                     365                    2467                      72
                     366                    2473                      72
                     367                    2477                      73
                     368                    2503                      73
                     369                    2521                      73
                     370                    2531                      73
                     371                    2539                      73
                     372                    2543                      73
                     373                    2549                      74
                     374                    2551                      74
                     375                    2557                      74
                     376                    2579                      74
                     377                    2591                      74
                     378                    2593                      74
                     379                    2609                      75
                     380                    2617                      75
                     381                    2621                      75
                     382                    2633                      75
                     383                    2647                      76
                     384                    2657                      76
                     385                    2659                      76
                     386                    2663                      76
                     387                    2671                      76
                     388                    2677                      76
                     389                    2683                      77
                     390                    2687                      77
                     391                    2689                      77
                     392                    2693                      77
                     393                    2699                      77
                     394                    2707                      77
                     395                    2711                      77
                     396                    2713                      77
                     397                    2719                      78
                     398                    2729                      78
                     399                    2731                      78
                     400                    2741                      78
                     401                    2749                      79
                     402                    2753                      79
                     403                    2767                      79
                     404                    2777                      79
                     405                    2789                      79
                     406                    2791                      79
                     407                    2797                      79
                     408                    2801                      79
                     409                    2803                      80
                     410                    2819                      80
                     411                    2833                      80
                     412                    2837                      80
                     413                    2843                      80
                     414                    2851                      80
                     415                    2857                      80
                     416                    2861                      80
                     417                    2879                      80
                     418                    2887                      80
                     419                    2897                      81
                     420                    2903                      81
                     421                    2909                      82
                     422                    2917                      82
                     423                    2927                      82
                     424                    2939                      82
                     425                    2953                      82
                     426                    2957                      82
                     427                    2963                      82
                     428                    2969                      82
                     429                    2971                      82
                     430                    2999                      82
                     431                    3001                      83
                     432                    3011                      83
                     433                    3019                      84
                     434                    3023                      84
                     435                    3037                      84
                     436                    3041                      84
                     437                    3049                      84
                     438                    3061                      84
                     439                    3067                      85
                     440                    3079                      85
                     441                    3083                      85
                     442                    3089                      85
                     443                    3109                      86
                     444                    3119                      86
                     445                    3121                      86
                     446                    3137                      86
                     447                    3163                      86
                     448                    3167                      86
                     449                    3169                      87
                     450                    3181                      87
                     451                    3187                      87
                     452                    3191                      87
                     453                    3203                      87
                     454                    3209                      87
                     455                    3217                      87
                     456                    3221                      87
                     457                    3229                      88
                     458                    3251                      88
                     459                    3253                      88
                     460                    3257                      88
                     461                    3259                      89
                     462                    3271                      89
                     463                    3299                      90
                     464                    3301                      90
                     465                    3307                      90
                     466                    3313                      90
                     467                    3319                      91
                     468                    3323                      91
                     469                    3329                      91
                     470                    3331                      91
                     471                    3343                      91
                     472                    3347                      91
                     473                    3359                      91
                     474                    3361                      91
                     475                    3371                      91
                     476                    3373                      91
                     477                    3389                      91
                     478                    3391                      91
                     479                    3407                      92
                     480                    3413                      92
                     481                    3433                      92
                     482                    3449                      92
                     483                    3457                      92
                     484                    3461                      92
                     485                    3463                      92
                     486                    3467                      92
                     487                    3469                      93
                     488                    3491                      93
                     489                    3499                      93
                     490                    3511                      93
                     491                    3517                      94
                     492                    3527                      94
