                       i               ith prime         n of primes < i
                    1499                   12547                     239
                    1500                   12553                     239
                    1501                   12569                     239
                    1502                   12577                     239
                    1503                   12583                     239
                    1504                   12589                     239
                    1505                   12601                     239
                    1506                   12611                     239
                    1507                   12613                     239
                    1508                   12619                     239
                    1509                   12637                     239
                    1510                   12641                     239
                    1511                   12647                     240
                    1512                   12653                     240
                    1513                   12659                     240
                    1514                   12671                     240
                    1515                   12689                     240
                    1516                   12697                     240
                    1517                   12703                     240
                    1518                   12713                     240
                    1519                   12721                     240
                    1520                   12739                     240
                    1521                   12743                     240
                    1522                   12757                     240
                    1523                   12763                     241
                    1524                   12781                     241
                    1525                   12791                     241
                    1526                   12799                     241
                    1527                   12809                     241
                    1528                   12821                     241
                    1529                   12823                     241
                    1530                   12829                     241
                    1531                   12841                     242
                    1532                   12853                     242
                    1533                   12889                     242
                    1534                   12893                     242
                    1535                   12899                     242
                    1536                   12907                     242
                    1537                   12911                     242
                    1538                   12917                     242
                    1539                   12919                     242
                    1540                   12923                     242
                    1541                   12941                     242
                    1542                   12953                     242
                    1543                   12959                     243
                    1544                   12967                     243
                    1545                   12973                     243
                    1546                   12979                     243
                    1547                   12983                     243
                    1548                   13001                     243
                    1549                   13003                     244
                    1550                   13007                     244
                    1551                   13009                     244
                    1552                   13033                     244
                    1553                   13037                     245
                    1554                   13043                     245
                    1555                   13049                     245
                    1556                   13063                     245
                    1557                   13093                     245
                    1558                   13099                     245
                    1559                   13103                     246
                    1560                   13109                     246
                    1561                   13121                     246
                    1562                   13127                     246
                    1563                   13147                     246
                    1564                   13151                     246
                    1565                   13159                     246
                    1566                   13163                     246
                    1567                   13171                     247
                    1568                   13177                     247
                    1569                   13183                     247
                    1570                   13187                     247
                    1571                   13217                     248
                    1572                   13219                     248
                    1573                   13229                     248
                    1574                   13241                     248
                    1575                   13249                     248
                    1576                   13259                     248
                    1577                   13267                     248
                    1578                   13291                     248
                    1579                   13297                     249
                    1580                   13309                     249
                    1581                   13313                     249
                    1582                   13327                     249
                    1583                   13331                     250
                    1584                   13337                     250
                    1585                   13339                     250
                    1586                   13367                     250
                    1587                   13381                     250
                    1588                   13397                     250
                    1589                   13399                     250
                    1590                   13411                     250
                    1591                   13417                     250
                    1592                   13421                     250
                    1593                   13441                     250
                    1594                   13451                     250
                    1595                   13457                     250
                    1596                   13463                     250
                    1597                   13469                     251
                    1598                   13477                     251
                    1599                   13487                     251
                    1600                   13499                     251
                    1601                   13513                     252
                    1602                   13523                     252
                    1603                   13537                     252
                    1604                   13553                     252
                    1605                   13567                     252
                    1606                   13577                     252
                    1607                   13591                     253
                    1608                   13597                     253
                    1609                   13613                     254
                    1610                   13619                     254
                    1611                   13627                     254
                    1612                   13633                     254
                    1613                   13649                     255
                    1614                   13669                     255
                    1615                   13679                     255
                    1616                   13681                     255
                    1617                   13687                     255
                    1618                   13691                     255
                    1619                   13693                     256
                    1620                   13697                     256
                    1621                   13709                     257
                    1622                   13711                     257
                    1623                   13721                     257
                    1624                   13723                     257
                    1625                   13729                     257
                    1626                   13751                     257
                    1627                   13757                     258
                    1628                   13759                     258
                    1629                   13763                     258
                    1630                   13781                     258
                    1631                   13789                     258
                    1632                   13799                     258
                    1633                   13807                     258
                    1634                   13829                     258
                    1635                   13831                     258
                    1636                   13841                     258
                    1637                   13859                     259
                    1638                   13873                     259
                    1639                   13877                     259
                    1640                   13879                     259
                    1641                   13883                     259
                    1642                   13901                     259
                    1643                   13903                     259
                    1644                   13907                     259
                    1645                   13913                     259
                    1646                   13921                     259
                    1647                   13931                     259
                    1648                   13933                     259
                    1649                   13963                     259
                    1650                   13967                     259
                    1651                   13997                     259
                    1652                   13999                     259
                    1653                   14009                     259
                    1654                   14011                     259
                    1655                   14029                     259
                    1656                   14033                     259
                    1657                   14051                     260
                    1658                   14057                     260
                    1659                   14071                     260
                    1660                   14081                     260
                    1661                   14083                     260
                    1662                   14087                     260
                    1663                   14107                     261
                    1664                   14143                     261
                    1665                   14149                     261
                    1666                   14153                     261
                    1667                   14159                     262
                    1668                   14173                     262
                    1669                   14177                     263
                    1670                   14197                     263
                    1671                   14207                     263
                    1672                   14221                     263
                    1673                   14243                     263
                    1674                   14249                     263
                    1675                   14251                     263
                    1676                   14281                     263
                    1677                   14293                     263
                    1678                   14303                     263
                    1679                   14321                     263
                    1680                   14323                     263
                    1681                   14327                     263
                    1682                   14341                     263
                    1683                   14347                     263
                    1684                   14369                     263
                    1685                   14387                     263
                    1686                   14389                     263
                    1687                   14401                     263
                    1688                   14407                     263
                    1689                   14411                     263
                    1690                   14419                     263
                    1691                   14423                     263
                    1692                   14431                     263
                    1693                   14437                     264
                    1694                   14447                     264
                    1695                   14449                     264
                    1696                   14461                     264
                    1697                   14479                     265
                    1698                   14489                     265
                    1699                   14503                     266
                    1700                   14519                     266
                    1701                   14533                     266
                    1702                   14537                     266
                    1703                   14543                     266
                    1704                   14549                     266
                    1705                   14551                     266
                    1706                   14557                     266
                    1707                   14561                     266
                    1708                   14563                     266
                    1709                   14591                     267
                    1710                   14593                     267
                    1711                   14621                     267
                    1712                   14627                     267
                    1713                   14629                     267
                    1714                   14633                     267
                    1715                   14639                     267
                    1716                   14653                     267
                    1717                   14657                     267
                    1718                   14669                     267
                    1719                   14683                     267
                    1720                   14699                     267
                    1721                   14713                     268
                    1722                   14717                     268
                    1723                   14723                     269
                    1724                   14731                     269
                    1725                   14737                     269
                    1726                   14741                     269
                    1727                   14747                     269
                    1728                   14753                     269
                    1729                   14759                     269
                    1730                   14767                     269
                    1731                   14771                     269
                    1732                   14779                     269
                    1733                   14783                     270
                    1734                   14797                     270
                    1735                   14813                     270
                    1736                   14821                     270
                    1737                   14827                     270
                    1738                   14831                     270
                    1739                   14843                     270
                    1740                   14851                     270
                    1741                   14867                     271
                    1742                   14869                     271
                    1743                   14879                     271
                    1744                   14887                     271
                    1745                   14891                     271
                    1746                   14897                     271
                    1747                   14923                     272
                    1748                   14929                     272
                    1749                   14939                     272
                    1750                   14947                     272
                    1751                   14951                     272
                    1752                   14957                     272
                    1753                   14969                     273
                    1754                   14983                     273
                    1755                   15013                     273
                    1756                   15017                     273
                    1757                   15031                     273
                    1758                   15053                     273
                    1759                   15061                     274
                    1760                   15073                     274
                    1761                   15077                     274
                    1762                   15083                     274
                    1763                   15091                     274
                    1764                   15101                     274
                    1765                   15107                     274
                    1766                   15121                     274
                    1767                   15131                     274
                    1768                   15137                     274
                    1769                   15139                     274
                    1770                   15149                     274
                    1771                   15161                     274
                    1772                   15173                     274
                    1773                   15187                     274
                    1774                   15193                     274
                    1775                   15199                     274
                    1776                   15217                     274
                    1777                   15227                     275
                    1778                   15233                     275
                    1779                   15241                     275
                    1780                   15259                     275
                    1781                   15263                     275
                    1782                   15269                     275
                    1783                   15271                     276
                    1784                   15277                     276
                    1785                   15287                     276
                    1786                   15289                     276
                    1787                   15299                     277
                    1788                   15307                     277
                    1789                   15313                     278
                    1790                   15319                     278
                    1791                   15329                     278
                    1792                   15331                     278
                    1793                   15349                     278
                    1794                   15359                     278
                    1795                   15361                     278
                    1796                   15373                     278
                    1797                   15377                     278
                    1798                   15383                     278
                    1799                   15391                     278
                    1800                   15401                     278
                    1801                   15413                     279
                    1802                   15427                     279
                    1803                   15439                     279
                    1804                   15443                     279
                    1805                   15451                     279
                    1806                   15461                     279
                    1807                   15467                     279
                    1808                   15473                     279
                    1809                   15493                     279
                    1810                   15497                     279
                    1811                   15511                     280
                    1812                   15527                     280
                    1813                   15541                     280
                    1814                   15551                     280
                    1815                   15559                     280
                    1816                   15569                     280
                    1817                   15581                     280
                    1818                   15583                     280
                    1819                   15601                     280
                    1820                   15607                     280
                    1821                   15619                     280
                    1822                   15629                     280
                    1823                   15641                     281
                    1824                   15643                     281
                    1825                   15647                     281
                    1826                   15649                     281
                    1827                   15661                     281
                    1828                   15667                     281
                    1829                   15671                     281
                    1830                   15679                     281
                    1831                   15683                     282
                    1832                   15727                     282
                    1833                   15731                     282
                    1834                   15733                     282
                    1835                   15737                     282
                    1836                   15739                     282
                    1837                   15749                     282
                    1838                   15761                     282
                    1839                   15767                     282
                    1840                   15773                     282
                    1841                   15787                     282
                    1842                   15791                     282
                    1843                   15797                     282
                    1844                   15803                     282
                    1845                   15809                     282
                    1846                   15817                     282
                    1847                   15823                     283
                    1848                   15859                     283
                    1849                   15877                     283
                    1850                   15881                     283
                    1851                   15887                     283
                    1852                   15889                     283
                    1853                   15901                     283
                    1854                   15907                     283
                    1855                   15913                     283
                    1856                   15919                     283
                    1857                   15923                     283
                    1858                   15937                     283
                    1859                   15959                     283
                    1860                   15971                     283
                    1861                   15973                     284
                    1862                   15991                     284
                    1863                   16001                     284
                    1864                   16007                     284
                    1865                   16033                     284
                    1866                   16057                     284
                    1867                   16061                     285
                    1868                   16063                     285
                    1869                   16067                     285
                    1870                   16069                     285
                    1871                   16073                     286
                    1872                   16087                     286
                    1873                   16091                     287
                    1874                   16097                     287
                    1875                   16103                     287
                    1876                   16111                     287
                    1877                   16127                     288
                    1878                   16139                     288
                    1879                   16141                     289
                    1880                   16183                     289
                    1881                   16187                     289
                    1882                   16189                     289
                    1883                   16193                     289
                    1884                   16217                     289
                    1885                   16223                     289
                    1886                   16229                     289
                    1887                   16231                     289
                    1888                   16249                     289
                    1889                   16253                     290
                    1890                   16267                     290
                    1891                   16273                     290
                    1892                   16301                     290
                    1893                   16319                     290
                    1894                   16333                     290
                    1895                   16339                     290
                    1896                   16349                     290
                    1897                   16361                     290
                    1898                   16363                     290
                    1899                   16369                     290
                    1900                   16381                     290
                    1901                   16411                     291
                    1902                   16417                     291
                    1903                   16421                     291
                    1904                   16427                     291
                    1905                   16433                     291
                    1906                   16447                     291
                    1907                   16451                     292
                    1908                   16453                     292
                    1909                   16477                     292
                    1910                   16481                     292
                    1911                   16487                     292
                    1912                   16493                     292
                    1913                   16519                     293
                    1914                   16529                     293
                    1915                   16547                     293
                    1916                   16553                     293
                    1917                   16561                     293
                    1918                   16567                     293
                    1919                   16573                     293
                    1920                   16603                     293
                    1921                   16607                     293
                    1922                   16619                     293
                    1923                   16631                     293
                    1924                   16633                     293
                    1925                   16649                     293
                    1926                   16651                     293
                    1927                   16657                     293
                    1928                   16661                     293
                    1929                   16673                     293
                    1930                   16691                     293
                    1931                   16693                     294
                    1932                   16699                     294
                    1933                   16703                     295
                    1934                   16729                     295
                    1935                   16741                     295
                    1936                   16747                     295
                    1937                   16759                     295
                    1938                   16763                     295
                    1939                   16787                     295
                    1940                   16811                     295
                    1941                   16823                     295
                    1942                   16829                     295
                    1943                   16831                     295
                    1944                   16843                     295
                    1945                   16871                     295
                    1946                   16879                     295
                    1947                   16883                     295
                    1948                   16889                     295
                    1949                   16901                     296
                    1950                   16903                     296
                    1951                   16921                     297
                    1952                   16927                     297
                    1953                   16931                     297
                    1954                   16937                     297
                    1955                   16943                     297
                    1956                   16963                     297
                    1957                   16979                     297
                    1958                   16981                     297
                    1959                   16987                     297
                    1960                   16993                     297
                    1961                   17011                     297
                    1962                   17021                     297
                    1963                   17027                     297
                    1964                   17029                     297
                    1965                   17033                     297
                    1966                   17041                     297
                    1967                   17047                     297
                    1968                   17053                     297
                    1969                   17077                     297
                    1970                   17093                     297
                    1971                   17099                     297
                    1972                   17107                     297
                    1973                   17117                     298
                    1974                   17123                     298
                    1975                   17137                     298
                    1976                   17159                     298
                    1977                   17167                     298
                    1978                   17183                     298
                    1979                   17189                     299
                    1980                   17191                     299
                    1981                   17203                     299
                    1982                   17207                     299
                    1983                   17209                     299
                    1984                   17231                     299
                    1985                   17239                     299
                    1986                   17257                     299
                    1987                   17291                     300
                    1988                   17293                     300
                    1989                   17299                     300
                    1990                   17317                     300
                    1991                   17321                     300
                    1992                   17327                     300
                    1993                   17333                     301
                    1994                   17341                     301
                    1995                   17351                     301
                    1996                   17359                     301
                    1997                   17377                     302
                    1998                   17383                     302
                    1999                   17387                     303
                    2000                   17389                     303
                    2001                   17393                     303
                    2002                   17401                     303
                    2003                   17417                     304
                    2004                   17419                     304
                    2005                   17431                     304
                    2006                   17443                     304
                    2007                   17449                     304
                    2008                   17467                     304
                    2009                   17471                     304
                    2010                   17477                     304
                    2011                   17483                     305
                    2012                   17489                     305
                    2013                   17491                     305
                    2014                   17497                     305
                    2015                   17509                     305
                    2016                   17519                     305
                    2017                   17539                     306
                    2018                   17551                     306
                    2019                   17569                     306
                    2020                   17573                     306
                    2021                   17579                     306
                    2022                   17581                     306
                    2023                   17597                     306
                    2024                   17599                     306
                    2025                   17609                     306
                    2026                   17623                     306
                    2027                   17627                     307
                    2028                   17657                     307
                    2029                   17659                     308
                    2030                   17669                     308
                    2031                   17681                     308
                    2032                   17683                     308
                    2033                   17707                     308
                    2034                   17713                     308
                    2035                   17729                     308
                    2036                   17737                     308
                    2037                   17747                     308
                    2038                   17749                     308
                    2039                   17761                     309
                    2040                   17783                     309
                    2041                   17789                     309
                    2042                   17791                     309
                    2043                   17807                     309
                    2044                   17827                     309
                    2045                   17837                     309
                    2046                   17839                     309
                    2047                   17851                     309
                    2048                   17863                     309
                    2049                   17881                     309
                    2050                   17891                     309
                    2051                   17903                     309
                    2052                   17909                     309
                    2053                   17911                     310
                    2054                   17921                     310
                    2055                   17923                     310
                    2056                   17929                     310
                    2057                   17939                     310
                    2058                   17957                     310
                    2059                   17959                     310
                    2060                   17971                     310
                    2061                   17977                     310
                    2062                   17981                     310
                    2063                   17987                     311
                    2064                   17989                     311
                    2065                   18013                     311
                    2066                   18041                     311
                    2067                   18043                     311
                    2068                   18047                     311
                    2069                   18049                     312
                    2070                   18059                     312
                    2071                   18061                     312
                    2072                   18077                     312
                    2073                   18089                     312
                    2074                   18097                     312
                    2075                   18119                     312
                    2076                   18121                     312
                    2077                   18127                     312
                    2078                   18131                     312
                    2079                   18133                     312
                    2080                   18143                     312
                    2081                   18149                     313
                    2082                   18169                     313
                    2083                   18181                     314
                    2084                   18191                     314
                    2085                   18199                     314
                    2086                   18211                     314
                    2087                   18217                     315
                    2088                   18223                     315
                    2089                   18229                     316
                    2090                   18233                     316
                    2091                   18251                     316
                    2092                   18253                     316
                    2093                   18257                     316
                    2094                   18269                     316
                    2095                   18287                     316
                    2096                   18289                     316
                    2097                   18301                     316
                    2098                   18307                     316
                    2099                   18311                     317
                    2100                   18313                     317
                    2101                   18329                     317
                    2102                   18341                     317
                    2103                   18353                     317
                    2104                   18367                     317
                    2105                   18371                     317
                    2106                   18379                     317
                    2107                   18397                     317
                    2108                   18401                     317
                    2109                   18413                     317
                    2110                   18427                     317
                    2111                   18433                     318
                    2112                   18439                     318
                    2113                   18443                     319
                    2114                   18451                     319
                    2115                   18457                     319
